Date,Description,Amount
2026-07-01,PAYROLL ACME CORP DIRECT DEP,4900.00
2026-07-01,RENT PAYMENT PARKSIDE APARTMENTS,-2950.00
2026-07-02,COSTCO WHSE #0421,-148.23
2026-07-02,TRANSFER TO SAVINGS 4471,-1500.00
2026-07-03,AMAZON MKTPLACE PMTS,-123.42
2026-07-03,LITTLE OAKS DAYCARE,-1350.00
2026-07-04,KAISER PERMANENTE PREMIUM,-210.00
2026-07-05,PG&E ELECTRIC AND GAS,-177.18
2026-07-05,SWEETGREEN SF,-12.33
2026-07-06,NETFLIX.COM,-17.99
2026-07-07,AMAZON.COM*2K4LL,-87.38
2026-07-07,CHEVRON 0091 SAN FRANCISCO,-33.83
2026-07-07,SWEETGREEN SF,-32.21
2026-07-07,UNITED AIRLINES 0162345,-486.20
2026-07-08,AMAZON.COM*2K4LL,-79.04
2026-07-08,BLUE BOTTLE COFFEE,-39.56
2026-07-08,COMCAST CABLE COMM,-89.99
2026-07-09,SPOTIFY USA,-11.99
2026-07-11,CVS PHARMACY #9876,-34.50
2026-07-12,VERIZON WIRELESS PAYMENT,-112.40
2026-07-13,COSTCO WHSE #0421,-125.10
2026-07-14,APPLE.COM/BILL,-9.99
2026-07-15,PAYROLL ACME CORP DIRECT DEP,4900.00
2026-07-16,VENMO PAYMENT 1023,-85.00
2026-07-17,CHIPOTLE 2216,-19.84
2026-07-18,24 HOUR FITNESS,-49.99
2026-07-18,CHIPOTLE 2216,-28.53
2026-07-19,STARBUCKS STORE 05812,-7.18
2026-07-20,AMERICAN RED CROSS DONATION,-100.00
2026-07-20,CHIPOTLE 2216,-14.70
2026-07-20,SHELL OIL 57444,-43.99
2026-07-21,CHEVRON 0091 SAN FRANCISCO,-44.56
2026-07-21,TARGET 00012345,-125.64
2026-07-21,WHOLE FOODS MARKET 10321,-146.38
2026-07-22,AIRBNB * HM3K7Q,-612.00
2026-07-22,SWEETGREEN SF,-28.89
2026-07-24,BLUE BOTTLE COFFEE,-17.38
2026-07-24,SQ *CORNER BAKERY,-23.75
2026-07-25,SAFEWAY STORE 1571,-158.31
2026-07-28,COSTCO WHSE #0421,-128.85
